suite,family,case,seed,curve_status,epochs,curve_fields,metrics_path,source_csv,selected_val_accuracy,test_accuracy,test_loss,checkpoint_path,notes
Bank Muon,adamw_fallback_banks,adamw_fallback_banks_seed32001,32001,available,0;1;2,train_loss;val_loss;val_accuracy,outputs/scheduler_collected/bank_muon_validation_1411104_wave0_part0/ai/1/trials/trial_000000_adamw_fallback_banks_seed32001/metrics.jsonl,docs/bank_muon_validation_trials.csv,0.901200,,,outputs/scheduler_finetune_hpo/bank_muon_validation_1411104_wave0_part0/ai/1/trials/trial_000000_adamw_fallback_banks_seed32001/student_best.pt,indexed outputs metrics.jsonl
Bank Muon,adamw_fallback_banks,adamw_fallback_banks_seed32002,32002,available,0;1;2,train_loss;val_loss;val_accuracy,outputs/scheduler_collected/bank_muon_validation_cd134e8_wave0_part1_offsets1_4/ripper/0/trials/trial_000001_adamw_fallback_banks_seed32002/metrics.jsonl,docs/bank_muon_validation_trials.csv,0.906600,,,outputs/scheduler_finetune_hpo/bank_muon_validation_cd134e8_wave0_part1_offsets1_4/ripper/0/trials/trial_000001_adamw_fallback_banks_seed32002/student_best.pt,indexed outputs metrics.jsonl
Bank Muon,adamw_fallback_banks,adamw_fallback_banks_seed32003,32003,available,0;1;2,train_loss;val_loss;val_accuracy,outputs/scheduler_collected/bank_muon_validation_cd134e8_wave0_part1_offsets1_4/ripper/1/trials/trial_000002_adamw_fallback_banks_seed32003/metrics.jsonl,docs/bank_muon_validation_trials.csv,0.911600,,,outputs/scheduler_finetune_hpo/bank_muon_validation_cd134e8_wave0_part1_offsets1_4/ripper/1/trials/trial_000002_adamw_fallback_banks_seed32003/student_best.pt,indexed outputs metrics.jsonl
Bank Muon,muon_banks,muon_banks_seed32001,32001,available,0;1;2,train_loss;val_loss;val_accuracy,outputs/scheduler_collected/bank_muon_validation_cd134e8_wave0_part1_offsets1_4/ripper/2/trials/trial_000003_muon_banks_seed32001/metrics.jsonl,docs/bank_muon_validation_trials.csv,0.896600,,,outputs/scheduler_finetune_hpo/bank_muon_validation_cd134e8_wave0_part1_offsets1_4/ripper/2/trials/trial_000003_muon_banks_seed32001/student_best.pt,indexed outputs metrics.jsonl
Bank Muon,muon_banks,muon_banks_seed32002,32002,available,0;1;2,train_loss;val_loss;val_accuracy,outputs/scheduler_collected/bank_muon_validation_cd134e8_wave0_part1_offsets1_4/ripper/3/trials/trial_000004_muon_banks_seed32002/metrics.jsonl,docs/bank_muon_validation_trials.csv,0.896800,,,outputs/scheduler_finetune_hpo/bank_muon_validation_cd134e8_wave0_part1_offsets1_4/ripper/3/trials/trial_000004_muon_banks_seed32002/student_best.pt,indexed outputs metrics.jsonl
Bank Muon,muon_banks,muon_banks_seed32003,32003,available,0;1;2,train_loss;val_loss;val_accuracy,outputs/scheduler_collected/bank_muon_validation_8d55431_wave0_part2_offset5_relaunch/foureyes_scratch/0/trials/trial_000005_muon_banks_seed32003/metrics.jsonl,docs/bank_muon_validation_trials.csv,0.898200,,,outputs/scheduler_finetune_hpo/bank_muon_validation_8d55431_wave0_part2_offset5_relaunch/foureyes_scratch/0/trials/trial_000005_muon_banks_seed32003/student_best.pt,indexed outputs metrics.jsonl
Fff Gc5 Optimizer Wsd,normuon_cosine_lr_base,normuon_cosine_lr_base,1337,available,0;1;2,train_loss;val_loss;val_accuracy,outputs/scheduler_collected/gc5_optimizer_wsd_validation_20260704_d27e50c_wave3_offsets10_11/ripper/2/trials/trial_000010_normuon_cosine_lr_base/metrics.jsonl,docs/fff_gc5_optimizer_wsd_validation_trials.csv,0.892000,,,outputs/scheduler_finetune_hpo/gc5_optimizer_wsd_validation_20260704_d27e50c_wave3_offsets10_11/ripper/2/trials/trial_000010_normuon_cosine_lr_base/student_best.pt,indexed outputs metrics.jsonl
Fff Gc5 Optimizer Wsd,normuon_cosine_lr_high,normuon_cosine_lr_high,1337,available,0;1;2,train_loss;val_loss;val_accuracy,outputs/scheduler_collected/gc5_optimizer_wsd_validation_20260704_d27e50c_wave3_offsets10_11/ripper/3/trials/trial_000011_normuon_cosine_lr_high/metrics.jsonl,docs/fff_gc5_optimizer_wsd_validation_trials.csv,0.747000,,,outputs/scheduler_finetune_hpo/gc5_optimizer_wsd_validation_20260704_d27e50c_wave3_offsets10_11/ripper/3/trials/trial_000011_normuon_cosine_lr_high/student_best.pt,indexed outputs metrics.jsonl
Fff Gc5 Optimizer Wsd,normuon_cosine_lr_low,normuon_cosine_lr_low,1337,available,0;1;2,train_loss;val_loss;val_accuracy,outputs/scheduler_collected/gc5_optimizer_wsd_validation_20260704_a1e311f_wave1_foureyes_offsets6_9/foureyes/3/trials/trial_000009_normuon_cosine_lr_low/metrics.jsonl,docs/fff_gc5_optimizer_wsd_validation_trials.csv,0.912200,,,outputs/scheduler_finetune_hpo/gc5_optimizer_wsd_validation_20260704_a1e311f_wave1/foureyes/3/trials/trial_000009_normuon_cosine_lr_low/student_best.pt,indexed outputs metrics.jsonl
Fff Gc5 Optimizer Wsd,official_muon_cosine_lr_base,official_muon_cosine_lr_base,1337,available,0;1;2,train_loss;val_loss;val_accuracy,outputs/scheduler_collected/gc5_optimizer_wsd_validation_20260704_a1e311f_wave0/ai/1/trials/trial_000001_official_muon_cosine_lr_base/metrics.jsonl,docs/fff_gc5_optimizer_wsd_validation_trials.csv,0.914800,,,outputs/scheduler_finetune_hpo/gc5_optimizer_wsd_validation_20260704_a1e311f_wave0/ai/1/trials/trial_000001_official_muon_cosine_lr_base/student_best.pt,indexed outputs metrics.jsonl
Fff Gc5 Optimizer Wsd,official_muon_cosine_lr_high,official_muon_cosine_lr_high,1337,available,0;1;2,train_loss;val_loss;val_accuracy,outputs/scheduler_finetune_hpo/gc5_optimizer_wsd_validation_20260704_d27e50c_wave2_offsets2_5/work/0/trials/trial_000002_official_muon_cosine_lr_high/metrics.jsonl,docs/fff_gc5_optimizer_wsd_validation_trials.csv,0.887800,,,outputs/scheduler_finetune_hpo/gc5_optimizer_wsd_validation_20260704_d27e50c_wave2_offsets2_5/work/0/trials/trial_000002_official_muon_cosine_lr_high/student_best.pt,checkpoint-relative metrics.jsonl
Fff Gc5 Optimizer Wsd,official_muon_cosine_lr_low,official_muon_cosine_lr_low,1337,available,0;1;2,train_loss;val_loss;val_accuracy,outputs/scheduler_collected/gc5_optimizer_wsd_validation_20260704_a1e311f_wave0/ai/0/trials/trial_000000_official_muon_cosine_lr_low/metrics.jsonl,docs/fff_gc5_optimizer_wsd_validation_trials.csv,0.893800,,,outputs/scheduler_finetune_hpo/gc5_optimizer_wsd_validation_20260704_a1e311f_wave0/ai/0/trials/trial_000000_official_muon_cosine_lr_low/student_best.pt,indexed outputs metrics.jsonl
Fff Gc5 Optimizer Wsd,official_muon_wsd_lr_base,official_muon_wsd_lr_base,1337,available,0;1;2,train_loss;val_loss;val_accuracy,outputs/scheduler_collected/gc5_optimizer_wsd_validation_20260704_d27e50c_wave2_offsets2_5/ripper/0/trials/trial_000004_official_muon_wsd_lr_base/metrics.jsonl,docs/fff_gc5_optimizer_wsd_validation_trials.csv,0.907600,,,outputs/scheduler_finetune_hpo/gc5_optimizer_wsd_validation_20260704_d27e50c_wave2_offsets2_5/ripper/0/trials/trial_000004_official_muon_wsd_lr_base/student_best.pt,indexed outputs metrics.jsonl
Fff Gc5 Optimizer Wsd,official_muon_wsd_lr_high,official_muon_wsd_lr_high,1337,available,0;1;2,train_loss;val_loss;val_accuracy,outputs/scheduler_collected/gc5_optimizer_wsd_validation_20260704_d27e50c_wave2_offsets2_5/ripper/1/trials/trial_000005_official_muon_wsd_lr_high/metrics.jsonl,docs/fff_gc5_optimizer_wsd_validation_trials.csv,0.876000,,,outputs/scheduler_finetune_hpo/gc5_optimizer_wsd_validation_20260704_d27e50c_wave2_offsets2_5/ripper/1/trials/trial_000005_official_muon_wsd_lr_high/student_best.pt,indexed outputs metrics.jsonl
Fff Gc5 Optimizer Wsd,official_muon_wsd_lr_low,official_muon_wsd_lr_low,1337,available,0;1;2,train_loss;val_loss;val_accuracy,outputs/scheduler_finetune_hpo/gc5_optimizer_wsd_validation_20260704_d27e50c_wave2_offsets2_5/work/1/trials/trial_000003_official_muon_wsd_lr_low/metrics.jsonl,docs/fff_gc5_optimizer_wsd_validation_trials.csv,0.897200,,,outputs/scheduler_finetune_hpo/gc5_optimizer_wsd_validation_20260704_d27e50c_wave2_offsets2_5/work/1/trials/trial_000003_official_muon_wsd_lr_low/student_best.pt,checkpoint-relative metrics.jsonl
Fff Gc5 Optimizer Wsd,pace_muon_cosine_lr_base,pace_muon_cosine_lr_base,1337,available,0;1;2,train_loss;val_loss;val_accuracy,outputs/scheduler_collected/gc5_optimizer_wsd_validation_20260704_a1e311f_wave1_foureyes_offsets6_9/foureyes/1/trials/trial_000007_pace_muon_cosine_lr_base/metrics.jsonl,docs/fff_gc5_optimizer_wsd_validation_trials.csv,0.913600,,,outputs/scheduler_finetune_hpo/gc5_optimizer_wsd_validation_20260704_a1e311f_wave1/foureyes/1/trials/trial_000007_pace_muon_cosine_lr_base/student_best.pt,indexed outputs metrics.jsonl
Fff Gc5 Optimizer Wsd,pace_muon_cosine_lr_high,pace_muon_cosine_lr_high,1337,available,0;1;2,train_loss;val_loss;val_accuracy,outputs/scheduler_collected/gc5_optimizer_wsd_validation_20260704_a1e311f_wave1_foureyes_offsets6_9/foureyes/2/trials/trial_000008_pace_muon_cosine_lr_high/metrics.jsonl,docs/fff_gc5_optimizer_wsd_validation_trials.csv,0.906600,,,outputs/scheduler_finetune_hpo/gc5_optimizer_wsd_validation_20260704_a1e311f_wave1/foureyes/2/trials/trial_000008_pace_muon_cosine_lr_high/student_best.pt,indexed outputs metrics.jsonl
Fff Gc5 Optimizer Wsd,pace_muon_cosine_lr_low,pace_muon_cosine_lr_low,1337,available,0;1;2,train_loss;val_loss;val_accuracy,outputs/scheduler_collected/gc5_optimizer_wsd_validation_20260704_a1e311f_wave1_foureyes_offsets6_9/foureyes/0/trials/trial_000006_pace_muon_cosine_lr_low/metrics.jsonl,docs/fff_gc5_optimizer_wsd_validation_trials.csv,0.892000,,,outputs/scheduler_finetune_hpo/gc5_optimizer_wsd_validation_20260704_a1e311f_wave1/foureyes/0/trials/trial_000006_pace_muon_cosine_lr_low/student_best.pt,indexed outputs metrics.jsonl
Fff Gc5 Optimizer Wsd,pace_normuon_cosine_lr_base,pace_normuon_cosine_lr_base,1337,available,0;1;2,train_loss;val_loss;val_accuracy,outputs/scheduler_collected/gc5_optimizer_wsd_validation_20260704_c6d011b_offsets12_13/ai/1/trials/trial_000013_pace_normuon_cosine_lr_base/metrics.jsonl,docs/fff_gc5_optimizer_wsd_validation_trials.csv,0.898200,,,outputs/scheduler_finetune_hpo/gc5_optimizer_wsd_validation_20260704_c6d011b_offsets12_13/ai/1/trials/trial_000013_pace_normuon_cosine_lr_base/student_best.pt,indexed outputs metrics.jsonl
Fff Gc5 Optimizer Wsd,pace_normuon_cosine_lr_high,pace_normuon_cosine_lr_high,1337,available,0;1;2,train_loss;val_loss;val_accuracy,outputs/scheduler_collected/gc5_optimizer_wsd_validation_20260704_a32f93f_offset14/foureyes/0/trials/trial_000014_pace_normuon_cosine_lr_high/metrics.jsonl,docs/fff_gc5_optimizer_wsd_validation_trials.csv,0.802800,,,outputs/scheduler_finetune_hpo/gc5_optimizer_wsd_validation_20260704_a32f93f_offset14/foureyes/0/trials/trial_000014_pace_normuon_cosine_lr_high/student_best.pt,indexed outputs metrics.jsonl
Fff Gc5 Optimizer Wsd,pace_normuon_cosine_lr_low,pace_normuon_cosine_lr_low,1337,available,0;1;2,train_loss;val_loss;val_accuracy,outputs/scheduler_collected/gc5_optimizer_wsd_validation_20260704_c6d011b_offsets12_13/ai/0/trials/trial_000012_pace_normuon_cosine_lr_low/metrics.jsonl,docs/fff_gc5_optimizer_wsd_validation_trials.csv,0.912200,,,outputs/scheduler_finetune_hpo/gc5_optimizer_wsd_validation_20260704_c6d011b_offsets12_13/ai/0/trials/trial_000012_pace_normuon_cosine_lr_low/student_best.pt,indexed outputs metrics.jsonl
