machine,gpu,seed,status,trial_status,test_accessed,sample_split,max_sample_batches,router_recipe,depth,shared_unrouted_frac,route_rows,route_result_rows,route_row_role,route_rows_contribute,route_rows_output_count,leaf_rows,balance_recipe,balance_coeff,locoprop_refit,initial_nmse,final_nmse,nmse_delta,locoprop_status,locoprop_before_mse,locoprop_after_mse,locoprop_basis_rows,dead_leaves,leaf_tokens_p50,leaf_tokens_p90,route_entropy_mean,active_rows_per_token,stored_rows,effective_trainable_rows,layer
ai,0,1347,completed,succeeded,False,train,1,sigmoid_surrogate_ste,5,0.2,1,1,split_routing_output,True,1,1,split,0.01,every_250,1.035707950592041,0.0875343307852745,0.9481736198067665,succeeded,0.0707307755947113,0.017771251499652863,275,27,0.0,1.0,0.0,218.0,306,306,blocks.0.forward_block.mixer.mixer.in_proj
ai,1,1348,completed,succeeded,False,train,1,sigmoid_surrogate_ste,5,0.2,1,0,routing_only,False,0,1,split,0.003,every_500,1.036095142364502,0.0891747996211052,0.9469203427433968,succeeded,0.07205293327569962,0.018104299902915955,244,29,0.0,0.0,0.0,213.0,275,275,blocks.0.forward_block.mixer.mixer.in_proj
foureyes,1,1344,completed,succeeded,False,train,1,clipped_ste,3,0.2,2,0,shared_routing_and_output,True,1,2,split,0.01,every_100,1.036560297012329,0.08792966604232788,0.9486306309700012,succeeded,0.07106412947177887,0.017851512879133224,237,3,2.0,48.79999542236328,0.0,219.0,244,244,blocks.0.forward_block.mixer.mixer.in_proj
foureyes,2,1345,completed,succeeded,False,train,1,vanilla_ste,6,0.0,2,2,split_routing_output,True,all,4,none,0.0003,every_100,1.0015180110931396,0.23319938778877258,0.7683186233043671,succeeded,0.16898122429847717,0.04734422266483307,323,57,0.0,0.6999984979629517,0.0,266.0,512,449,blocks.0.forward_block.mixer.mixer.in_proj
foureyes,3,1346,completed,succeeded,False,train,1,hard_em_utility_ste,8,0.1,1,2,split_routing_output,True,all,4,split_minleaf_uniform,0.0003,every_100,1.0356563329696655,0.12463334202766418,0.9110229909420013,succeeded,0.09969998896121979,0.025303104892373085,1389,246,0.0,0.0,0.0,122.0,1899,1644,blocks.0.forward_block.mixer.mixer.in_proj
ripper,0,1339,completed,succeeded,False,train,1,sigmoid_surrogate_ste,2,0.05,2,0,shared_routing_and_output,True,all,1,split_minleaf_uniform,0.0001,every_500,1.0267642736434937,0.18089617788791656,0.8458680957555771,succeeded,0.1385737955570221,0.03672560676932335,63,1,24.0,70.0999984741211,0.0,58.0,63,63,blocks.0.forward_block.mixer.mixer.in_proj
ripper,2,1341,completed,succeeded,False,train,1,vanilla_ste,4,0.2,2,0,routing_only,False,0,4,split_minleaf,0.01,every_500,1.0371462106704712,0.08725477755069733,0.9498914331197739,succeeded,0.07028666883707047,0.017714494839310646,276,11,0.0,18.499996185302734,0.0,216.0,306,306,blocks.0.forward_block.mixer.mixer.in_proj
ripper,3,1342,completed,succeeded,False,train,1,utility_targeted_ste,8,0.0,2,0,shared_routing_and_output,True,1,4,split_minleaf_margin,0.0,every_100,1.0324931144714355,0.31286999583244324,0.7196231186389923,succeeded,0.19940873980522156,0.06351897865533829,1279,246,0.0,0.0,0.0,12.0,1534,1534,blocks.0.forward_block.mixer.mixer.in_proj
work,0,1337,completed,succeeded,False,train,1,vanilla_ste,5,0.1,1,2,split_routing_output,True,1,2,split,0.01,every_500,1.027357578277588,0.1273772120475769,0.899980366230011,succeeded,0.1011105477809906,0.025860166177153587,203,26,0.0,6.699997901916504,0.0,177.0,265,234,blocks.0.forward_block.mixer.mixer.in_proj
work,1,1338,completed,succeeded,False,train,1,expert_choice_imitation,5,0.1,2,0,routing_only,False,0,4,split_minleaf_margin,0.003,every_250,1.0201246738433838,0.12495496869087219,0.8951697051525116,succeeded,0.0994347408413887,0.025368401780724525,238,28,0.0,1.7999985218048096,0.5404328107833862,238.0,300,300,blocks.0.forward_block.mixer.mixer.in_proj
