machine,gpu,seed,status,trial_status,test_accessed,sample_split,max_sample_batches,router_recipe,depth,shared_unrouted_frac,route_rows,route_row_role,route_rows_output_count,leaf_rows,balance_recipe,balance_coeff,locoprop_refit,initial_nmse,final_nmse,nmse_delta,final_cosine_similarity,tokens_per_second,dead_leaves,route_entropy_mean,leaf_tokens_p50,leaf_tokens_p90,active_rows_per_token,stored_rows,locoprop_status,layer
foureyes,2,1345,completed,succeeded,False,val,2,vanilla_ste,5,0.2,1,split_routing_output,all,4,none,0.001,every_500,1.0251344442367554,0.004614771343767643,1.0205196728929877,0.9978801012039185,44221.904617032145,14,0.0,1.5,18.59999656677246,345.0,433,succeeded,blocks.0.forward_block.mixer.mixer.in_proj
work,1,1338,completed,succeeded,False,val,2,sigmoid_surrogate_ste,7,0.1,2,routing_only,0,2,none,0.001,every_500,1.0380966663360596,0.011140787973999977,1.0269558783620596,0.9949619770050049,20161.338719094518,118,0.0,0.0,0.0,108.0,616,succeeded,blocks.0.forward_block.mixer.mixer.in_proj
ripper,2,1341,completed,succeeded,False,val,2,st_gumbel,3,0.1,2,shared_routing_and_output,all,2,none,0.01,every_500,1.0345877408981323,0.012248126789927483,1.0223396141082048,0.9944595098495483,51741.54639959634,4,0.0,1.0,79.19996643066406,128.0,136,succeeded,blocks.0.forward_block.mixer.mixer.in_proj
ripper,0,1339,completed,succeeded,False,val,2,clipped_ste,5,0.1,1,shared_routing_and_output,all,1,none,0.01,every_500,1.0373027324676514,0.012347257696092129,1.0249554747715592,0.9943728446960449,37200.840753252305,29,0.0,0.0,0.0,112.0,169,succeeded,blocks.0.forward_block.mixer.mixer.in_proj
foureyes,1,1344,completed,succeeded,False,val,2,st_gumbel,7,0.2,2,shared_routing_and_output,1,1,none,0.001,False,1.0368494987487793,0.019196517765522003,1.0176529809832573,0.9909241199493408,20878.227922773516,115,0.0,0.0,0.2999969720840454,220.0,594,skipped,blocks.0.forward_block.mixer.mixer.in_proj
work,0,1337,completed,succeeded,False,val,2,sigmoid_surrogate_ste,5,0.05,2,split_routing_output,1,2,split_minleaf_margin,0.003,every_500,1.0146759748458862,0.02058408223092556,0.9940918926149607,0.9906883239746094,30585.633110282382,28,0.0,0.0,17.099985122680664,122.0,241,succeeded,blocks.0.forward_block.mixer.mixer.in_proj
foureyes,3,1346,completed,succeeded,False,val,2,sigmoid_surrogate_ste,5,0.05,1,split_routing_output,all,1,split_minleaf_margin,0.001,every_500,1.0196928977966309,0.02152986451983452,0.9981630332767963,0.9902238249778748,26896.021105178577,26,0.0,0.0,3.8999991416931152,90.0,178,succeeded,blocks.0.forward_block.mixer.mixer.in_proj
ai,0,1347,completed,succeeded,False,val,2,st_gumbel,4,0.05,1,split_routing_output,1,2,split_minleaf_margin,0.0,every_500,1.0287595987319946,0.025693099945783615,1.003066498786211,0.9882314205169678,54333.846056988565,13,0.0,0.0,11.499994277954102,59.0,115,succeeded,blocks.0.forward_block.mixer.mixer.in_proj
ai,1,1348,completed,succeeded,False,val,2,st_gumbel,4,0.05,1,routing_only,0,2,split_minleaf_margin,0.003,every_500,1.0292288064956665,0.026492847129702568,1.002735959365964,0.9878158569335938,45113.809470802924,14,0.0,0.0,2.499998092651367,55.0,100,succeeded,blocks.0.forward_block.mixer.mixer.in_proj
ripper,3,1342,completed,succeeded,False,val,2,vanilla_ste,4,0.1,2,shared_routing_and_output,1,1,split_minleaf,0.001,False,1.0388832092285156,0.03851555287837982,1.0003676563501358,0.9819256663322449,36428.289886670245,8,0.0,0.5,34.99998474121094,111.0,152,skipped,blocks.0.forward_block.mixer.mixer.in_proj
